epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0705,1.29919,3.97819,0.00802,0.02146,0.62365,0.07972,0.05056,1.11839,3.76185,0.00937,0.000218747,0.000218747,0.000218747
2,16.0973,1.25776,2.65248,0.00748,0.7264,0.17341,0.19874,0.12837,1.2334,2.45851,0.01044,0.000436714,0.000436714,0.000436714
3,22.023,1.27056,2.18799,0.00775,0.66265,0.3173,0.34196,0.21829,1.27897,2.00041,0.01099,0.000650278,0.000650278,0.000650278
4,28.0004,1.27976,1.93781,0.00794,0.65285,0.38323,0.36981,0.23383,1.3399,1.8844,0.01148,0.00064719,0.00064719,0.00064719
5,33.9034,1.29002,1.74945,0.00776,0.66382,0.50392,0.49067,0.32144,1.28085,1.56848,0.01085,0.000640587,0.000640587,0.000640587
6,39.7925,1.26876,1.65541,0.0078,0.63947,0.4548,0.50887,0.33622,1.29227,1.52019,0.01087,0.000633983,0.000633983,0.000633983
7,45.7085,1.24966,1.53763,0.00758,0.60756,0.56867,0.55881,0.37439,1.26654,1.40649,0.01076,0.00062738,0.00062738,0.00062738
8,51.5766,1.25598,1.46039,0.00767,0.75236,0.51553,0.58838,0.39235,1.2773,1.30623,0.01083,0.000620777,0.000620777,0.000620777
9,57.6073,1.26248,1.37532,0.00763,0.68562,0.53308,0.59019,0.38935,1.2959,1.26735,0.01111,0.000614174,0.000614174,0.000614174
10,63.4559,1.25339,1.3273,0.00757,0.70031,0.51817,0.57566,0.38353,1.31173,1.24519,0.01113,0.00060757,0.00060757,0.00060757
11,69.3704,1.2345,1.25866,0.00747,0.56937,0.55027,0.60577,0.40017,1.299,1.1561,0.01099,0.000600967,0.000600967,0.000600967
12,75.2367,1.24302,1.22109,0.00759,0.6519,0.61334,0.61541,0.4131,1.27545,1.1499,0.01075,0.000594364,0.000594364,0.000594364
13,81.262,1.2415,1.17936,0.0074,0.60764,0.55957,0.62761,0.41097,1.33365,1.10785,0.01151,0.00058776,0.00058776,0.00058776
14,87.1256,1.22864,1.14307,0.00732,0.63138,0.55151,0.63143,0.42287,1.30792,1.04727,0.01107,0.000581157,0.000581157,0.000581157
15,93.0021,1.22056,1.10537,0.00731,0.62005,0.56645,0.62375,0.41611,1.29128,1.09813,0.01091,0.000574554,0.000574554,0.000574554
16,98.8782,1.22399,1.06794,0.0072,0.61947,0.61488,0.65061,0.43115,1.30203,0.98595,0.01107,0.00056795,0.00056795,0.00056795
17,104.887,1.20911,1.04307,0.00719,0.58806,0.61243,0.63008,0.4156,1.31134,1.00438,0.01111,0.000561347,0.000561347,0.000561347
18,110.765,1.2163,1.01671,0.00743,0.62778,0.60932,0.64755,0.42724,1.32863,0.95962,0.01141,0.000554744,0.000554744,0.000554744
19,116.649,1.23096,1.00861,0.00726,0.60893,0.62575,0.64484,0.40797,1.39385,0.99087,0.01177,0.000548141,0.000548141,0.000548141
20,122.516,1.20086,0.9952,0.00749,0.60547,0.64282,0.67009,0.44068,1.30917,0.93601,0.01099,0.000541537,0.000541537,0.000541537
21,128.549,1.20707,0.95115,0.00717,0.60101,0.6183,0.64917,0.42683,1.31634,0.9653,0.0111,0.000534934,0.000534934,0.000534934
22,134.416,1.19591,0.94727,0.00721,0.63549,0.61756,0.65578,0.42703,1.31809,0.90301,0.01121,0.000528331,0.000528331,0.000528331
23,140.254,1.21227,0.93967,0.0072,0.66978,0.62222,0.68352,0.44912,1.33458,0.88111,0.01139,0.000521727,0.000521727,0.000521727
24,146.09,1.19672,0.91875,0.00705,0.62961,0.60594,0.6641,0.43503,1.33516,0.89723,0.01128,0.000515124,0.000515124,0.000515124
25,152.127,1.19236,0.90034,0.00706,0.6151,0.63906,0.66659,0.43786,1.3283,0.91283,0.01109,0.000508521,0.000508521,0.000508521
26,158.002,1.18332,0.89611,0.00712,0.68238,0.63279,0.68624,0.44464,1.36147,0.84883,0.01183,0.000501917,0.000501917,0.000501917
27,163.906,1.17546,0.87061,0.00701,0.65324,0.63316,0.68089,0.44728,1.32038,0.83788,0.01118,0.000495314,0.000495314,0.000495314
28,169.819,1.18633,0.85976,0.00705,0.63808,0.62825,0.6754,0.43838,1.34241,0.82645,0.01135,0.000488711,0.000488711,0.000488711
29,175.826,1.15884,0.84042,0.00686,0.65664,0.63207,0.68596,0.44404,1.33758,0.82762,0.01137,0.000482108,0.000482108,0.000482108
30,181.749,1.17671,0.82869,0.00691,0.62684,0.64463,0.67139,0.43928,1.36467,0.83961,0.01174,0.000475504,0.000475504,0.000475504
31,187.715,1.16975,0.82371,0.00682,0.66238,0.63924,0.6808,0.43461,1.34086,0.84019,0.01124,0.000468901,0.000468901,0.000468901
32,193.614,1.17577,0.81266,0.00708,0.69478,0.61012,0.69487,0.4602,1.33653,0.79831,0.0113,0.000462298,0.000462298,0.000462298
33,199.513,1.14796,0.79124,0.00687,0.74887,0.64833,0.67397,0.44591,1.33122,0.83757,0.01131,0.000455694,0.000455694,0.000455694
34,205.504,1.16285,0.78568,0.00688,0.79908,0.63481,0.70579,0.46062,1.34769,0.78073,0.01137,0.000449091,0.000449091,0.000449091
35,211.39,1.16833,0.78002,0.00702,0.77944,0.63733,0.69086,0.44691,1.35591,0.84027,0.01145,0.000442488,0.000442488,0.000442488
36,217.285,1.14807,0.76614,0.00666,0.78292,0.65518,0.69477,0.45656,1.34418,0.79732,0.01133,0.000435884,0.000435884,0.000435884
37,223.211,1.12667,0.74918,0.00655,0.7995,0.63062,0.69844,0.45612,1.35015,0.82266,0.01149,0.000429281,0.000429281,0.000429281
