epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.713,1.29919,3.97819,0.00802,0.02146,0.62365,0.07972,0.05056,1.11839,3.76185,0.00937,0.000218747,0.000218747,0.000218747
2,16.721,1.26208,2.65185,0.00752,0.74457,0.17401,0.20045,0.12854,1.2327,2.44714,0.01039,0.000419247,0.000419247,0.000419247
3,22.5957,1.27325,2.18934,0.00775,0.6447,0.32768,0.34008,0.21645,1.27489,2.04806,0.01082,0.000597736,0.000597736,0.000597736
4,28.459,1.28007,1.93859,0.00792,0.63649,0.39818,0.38609,0.24671,1.32069,1.83186,0.01132,0.00056795,0.00056795,0.00056795
5,34.324,1.2941,1.74148,0.00782,0.57281,0.50597,0.4904,0.31616,1.29508,1.56852,0.01099,0.000534934,0.000534934,0.000534934
6,40.1737,1.27156,1.64735,0.00781,0.61746,0.47403,0.51626,0.34717,1.29009,1.52918,0.01091,0.000501917,0.000501917,0.000501917
7,46.0223,1.25024,1.52502,0.00758,0.63205,0.49808,0.55536,0.37373,1.26852,1.40878,0.01074,0.000468901,0.000468901,0.000468901
8,51.8689,1.26196,1.46565,0.00771,0.78219,0.50806,0.58862,0.39231,1.26508,1.29741,0.01068,0.000435884,0.000435884,0.000435884
9,57.7234,1.25704,1.37306,0.00757,0.65095,0.54767,0.59996,0.39748,1.28914,1.25955,0.01096,0.000402868,0.000402868,0.000402868
10,63.5737,1.25339,1.33452,0.00755,0.72058,0.54289,0.60279,0.40316,1.28157,1.20437,0.01078,0.000369851,0.000369851,0.000369851
11,69.8598,1.24578,1.47807,0.00841,0.65159,0.55212,0.58439,0.38387,1.30819,1.23534,0.01105,0.000336835,0.000336835,0.000336835
12,75.3882,1.2384,1.34474,0.00846,0.65612,0.60187,0.60667,0.40263,1.30025,1.16508,0.011,0.000303818,0.000303818,0.000303818
13,80.9081,1.2213,1.275,0.00851,0.75687,0.53103,0.62796,0.41569,1.30224,1.10665,0.01111,0.000270802,0.000270802,0.000270802
14,86.4129,1.22435,1.20668,0.00856,0.58678,0.60447,0.62483,0.41656,1.28451,1.07465,0.01086,0.000237785,0.000237785,0.000237785
15,91.9186,1.21575,1.16625,0.00836,0.59848,0.58152,0.62921,0.42957,1.27554,1.07678,0.01085,0.000204769,0.000204769,0.000204769
16,97.4186,1.21908,1.13633,0.00834,0.62396,0.59872,0.64147,0.43428,1.28581,1.05171,0.01089,0.000171752,0.000171752,0.000171752
17,102.984,1.19861,1.0925,0.00816,0.63216,0.60079,0.65331,0.44645,1.26609,1.02462,0.01067,0.000138736,0.000138736,0.000138736
18,108.523,1.18918,1.07872,0.00802,0.65,0.58637,0.64862,0.44006,1.26773,1.0089,0.01063,0.00010572,0.00010572,0.00010572
19,114.056,1.18599,1.06914,0.00794,0.62311,0.60263,0.65523,0.44606,1.27045,0.99345,0.01064,7.2703e-05,7.2703e-05,7.2703e-05
20,119.599,1.17562,1.04746,0.00802,0.65776,0.58489,0.65495,0.44315,1.27037,0.99704,0.01061,3.96865e-05,3.96865e-05,3.96865e-05
